id;neighbourhood_cleansed;neighbourhood_group_cleansed;latitude;longitude;property_type;room_type;accommodates;bathrooms;bathrooms_text;bedrooms;beds;amenities;instant_bookable;price
7352954;l'Antiga Esquerra de l'Eixample;Eixample;41.39219;2.15222;Entire rental unit;Entire home/apt;6;3.0;3 baths;3.0;4.0;"[""Patio or balcony"", ""Coffee maker"", ""Shampoo"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Smoking allowed"", ""Paid parking off premises"", ""Heating"", ""Hot water"", ""Smart lock"", ""Iron"", ""Bed linens"", ""Self check-in"", ""Oven"", ""Dryer"", ""Dishwasher"", ""TV"", ""Wifi"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove"", ""Cooking basics"", ""Crib"", ""Washer"", ""Microwave"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Ethernet connection"", ""Air conditioning"", ""Essentials""]";t;250.0
8,54486E+17;Sant Antoni;Eixample;41.37839;2.15585;Private room in rental unit;Private room;1;;1 shared bath;1.0;;"[""Heating"", ""TV"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace"", ""Hot water"", ""Wifi"", ""Dryer"", ""Washer"", ""Cooking basics""]";f;34.0
32537242;la Vila de Gràcia;Gràcia;41.4061;2.15139;Private room in rental unit;Private room;2;2.0;2 shared baths;1.0;1.0;"[""Dedicated workspace"", ""Refrigerator"", ""Lock on bedroom door"", ""Heating"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Bed linens"", ""Oven"", ""Dryer"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Stove"", ""Cooking basics"", ""Washer"", ""Microwave"", ""Kitchen"", ""Elevator"", ""Hangers"", ""Private living room""]";f;36.0
1,18828E+18;Sant Pere, Santa Caterina i la Ribera;Ciutat Vella;41.38597307425563;2.178727529916048;Entire rental unit;Entire home/apt;4;1.0;1 bath;2.0;2.0;"[""Coffee maker"", ""Long term stays allowed"", ""Smoke alarm"", ""Record player"", ""Refrigerator"", ""Hangers"", ""Iron"", ""Pets allowed"", ""TV"", ""Microwave"", ""Kitchen"", ""Cleaning products"", ""Cooking basics"", ""Bed linens"", ""Heating"", ""Stove"", ""Oven"", ""First aid kit"", ""Air conditioning"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Wifi"", ""Freezer"", ""Blender"", ""Dishwasher"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Hot water kettle"", ""Washer"", ""Hair dryer"", ""Toaster""]";f;550.0
5,57803E+17;l'Antiga Esquerra de l'Eixample;Eixample;41.388386;2.152384;Entire serviced apartment;Entire home/apt;3;2.0;2 baths;2.0;2.0;"[""Dedicated workspace"", ""Refrigerator"", ""Host greets you"", ""LOEWE shampoo"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""AMAZON ALEXA sound system"", ""Hot water"", ""LOEWE conditioner"", ""Bed linens"", ""Outdoor shower"", ""City skyline view"", ""Private patio or balcony"", ""Oven"", ""LOEWE body soap"", ""Dishwasher"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Wine glasses"", ""Clothing storage: closet"", ""Stove"", ""Central heating"", ""Cooking basics"", ""Dining table"", ""Pack \u2019n play/Travel crib - available upon request"", ""Washer"", ""Microwave"", ""Kitchen"", ""Elevator"", ""Hangers"", ""Air conditioning"", ""Essentials"", ""Shower gel""]";f;123.0
24098604;el Poble Sec;Sants-Montjuïc;41.37468;2.16478;Private room in rental unit;Private room;2;;1 shared bath;;;"[""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Host greets you"", ""Smoking allowed"", ""Heating"", ""Hot water"", ""Pets allowed"", ""Iron"", ""Bed linens"", ""Oven"", ""Dryer"", ""TV"", ""Wifi"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""First aid kit"", ""Beach essentials"", ""Stove"", ""Cooking basics"", ""Washer"", ""Microwave"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Hangers"", ""Extra pillows and blankets"", ""Essentials""]";f;50.0
52976566;el Raval;Ciutat Vella;41.38416;2.16754;Room in hotel;Private room;3;1.0;1 private bath;1.0;3.0;"[""Dedicated workspace"", ""Shampoo"", ""TV"", ""Wifi"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Fire extinguisher"", ""Elevator"", ""Hair dryer"", ""Private entrance"", ""Essentials""]";t;300.0
3000888;el Poblenou;Sant Martí;41.40408;2.19663;Entire rental unit;Entire home/apt;4;1.0;1 bath;1.0;1.0;"[""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Host greets you"", ""Paid parking off premises"", ""Heating"", ""Air conditioning"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""Shared backyard \u2013 Fully fenced"", ""Iron"", ""Bed linens"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Shared pool"", ""Cooking basics"", ""Crib"", ""Washer"", ""Microwave"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Hangers"", ""Extra pillows and blankets"", ""Essentials"", ""High chair""]";t;94.0
729078;el Raval;Ciutat Vella;41.37741;2.17391;Entire condo;Entire home/apt;4;1.0;1 bath;2.0;3.0;"[""Safe"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Bathtub"", ""Drying rack for clothing"", ""Books and reading material"", ""Host greets you"", ""Paid parking off premises"", ""Heating"", ""Clothing storage: closet and wardrobe"", ""Hot water"", ""Baking sheet"", ""Laundromat nearby"", ""TV with standard cable"", ""Beach access \u2013 Beachfront"", ""Iron"", ""Bed linens"", ""Oven"", ""Dishwasher"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""First aid kit"", ""Fire extinguisher"", ""Stove"", ""Cooking basics"", ""Coffee"", ""Window AC unit"", ""Freezer"", ""Dining table"", ""Cleaning products"", ""Room-darkening shades"", ""Microwave"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Hangers"", ""Body soap"", ""Ethernet connection"", ""Free washer \u2013 In unit"", ""Extra pillows and blankets"", ""Essentials"", ""High chair"", ""Shower gel""]";t;99.0
1,27686E+18;Sants;Sants-Montjuïc;41.37264945988566;2.1344751497415952;Private room in rental unit;Private room;2;1.0;1 private bath;1.0;1.0;"[""Shampoo"", ""Smoke alarm"", ""Fire extinguisher"", ""Refrigerator"", ""Hangers"", ""Noise decibel monitors on property"", ""Kitchen"", ""Self check-in"", ""Bed linens"", ""Heating"", ""First aid kit"", ""Air conditioning"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Dining table"", ""Smart lock"", ""Wifi"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Shower gel"", ""Lock on bedroom door"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Exterior security cameras on property"", ""Washer""]";t;70.0
8638224;la Vila de Gràcia;Gràcia;41.39866;2.15843;Private room in rental unit;Private room;1;1.0;1 private bath;1.0;3.0;"[""Coffee maker"", ""Host greets you"", ""Paid parking on premises"", ""Refrigerator"", ""Hangers"", ""Iron"", ""TV"", ""Patio or balcony"", ""Microwave"", ""Kitchen"", ""Backyard"", ""Cooking basics"", ""Bed linens"", ""Heating"", ""Stove"", ""Oven"", ""Extra pillows and blankets"", ""First aid kit"", ""Outdoor dining area"", ""Pocket wifi"", ""Dishes and silverware"", ""Wifi"", ""Outdoor furniture"", ""Lock on bedroom door"", ""Essentials"", ""Hot water"", ""Smoking allowed"", ""Washer"", ""Hair dryer""]";f;25.0
53537713;la Nova Esquerra de l'Eixample;Eixample;41.38975;2.14834;Room in hotel;Private room;2;1.0;1 private bath;1.0;2.0;"[""Safe"", ""Dedicated workspace"", ""Shampoo"", ""Bathtub"", ""Mini fridge"", ""Hot water"", ""Laundromat nearby"", ""Paid parking garage on premises \u2013 8 spaces"", ""Iron"", ""Bed linens"", ""Bikes"", ""Wifi"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Crib - available upon request"", ""First aid kit"", ""32 inch HDTV with Netflix, standard cable"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Central heating"", ""Exterior security cameras on property"", ""Shared hot tub"", ""Hot water kettle"", ""Room-darkening shades"", ""Shared pool - available all year, open specific hours"", ""Essentials"", ""Bidet"", ""Hair dryer"", ""Elevator"", ""Hangers"", ""Body soap"", ""Extra pillows and blankets"", ""Central air conditioning"", ""High chair"", ""Shower gel""]";t;50.0
44361751;la Dreta de l'Eixample;Eixample;41.39521;2.15828;Private room in rental unit;Private room;2;2.0;2 shared baths;1.0;1.0;"[""Long term stays allowed"", ""Fire extinguisher"", ""Teka stainless steel electric stove"", ""Free washer \u2013 In unit"", ""Room-darkening shades"", ""Hangers"", ""Iron"", ""Argan Oil body soap"", ""Single level home"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Shared patio or balcony"", ""Cleaning available during stay"", ""Laundromat nearby"", ""Game console: Nintendo Wii, PS2, and PS3"", ""Microwave"", ""Teka stainless steel oven"", ""Kitchen"", ""Self check-in"", ""Cleaning products"", ""Coffee"", ""Board games"", ""40 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, standard cable"", ""Keypad"", ""Loreal conditioner"", ""Cooking basics"", ""Bed linens"", ""City skyline view"", ""Free dryer \u2013 In unit"", ""Ethernet connection"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee maker: Nespresso"", ""Drying rack for clothing"", ""Portable fans"", ""Private living room"", ""Outdoor dining area"", ""Dining table"", ""Pocket wifi"", ""Clothing storage: closet and wardrobe"", ""Dishes and silverware"", ""Wifi"", ""Wine glasses"", ""Outdoor furniture"", ""Shower gel"", ""Electrolux refrigerator"", ""Central heating"", ""Freezer"", ""Blender"", ""Lock on bedroom door"", ""Hot water kettle"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Free street parking"", ""Paid parking garage on premises"", ""Shampoo"", ""Hair dryer"", ""Toaster"", ""Elevator""]";t;49.0
1,20581E+18;la Nova Esquerra de l'Eixample;Eixample;41.38108;2.15314;Entire rental unit;Entire home/apt;8;2.0;2 baths;4.0;5.0;"[""Dedicated workspace"", ""Coffee maker"", ""Refrigerator"", ""Paid parking off premises"", ""Heating"", ""Long term stays allowed"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""Oven"", ""TV"", ""Wifi"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Wine glasses"", ""Stove"", ""Cooking basics"", ""Crib"", ""Clothing storage"", ""Freezer"", ""Dining table"", ""Cleaning products"", ""Washer"", ""Microwave"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Toaster"", ""Air conditioning"", ""Essentials"", ""High chair""]";f;1000.0
9,42525E+17;Hostafrancs;Sants-Montjuïc;41.37268436351802;2.145659218215847;Entire rental unit;Entire home/apt;2;1.0;1 bath;1.0;1.0;"[""Dedicated workspace"", ""Refrigerator"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water"", ""Heating - split type ductless system"", ""Bed linens"", ""Oven"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Clothing storage"", ""Dining table"", ""Washer"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Essentials""]";f;54.0
