iter	RMSE
0	23.31891336
1	22.94077649
2	22.58853626
3	22.23869486
4	21.93639941
5	21.65883294
6	21.41081085
7	21.16638085
8	20.93426846
9	20.72328792
10	20.52601995
11	20.34403914
12	20.19110571
13	20.03893738
14	19.88948786
15	19.75924585
16	19.61114142
17	19.48201443
18	19.38121002
19	19.25857689
20	19.15423103
21	19.06201705
22	18.97661197
23	18.8938125
24	18.79775261
25	18.73336442
26	18.65962019
27	18.58722139
28	18.52376491
29	18.45425753
30	18.39731904
31	18.33916926
32	18.28994638
33	18.24750343
34	18.20402501
35	18.15670523
36	18.11771731
37	18.07496931
38	18.03794443
39	17.98839609
40	17.94956222
41	17.90578192
42	17.85743972
43	17.82775726
44	17.79818501
45	17.74851176
46	17.71462323
47	17.69398932
48	17.65662985
49	17.62712509
50	17.59489583
51	17.56737737
52	17.54105169
53	17.50988752
54	17.47618879
55	17.46286014
56	17.44171104
57	17.41963264
58	17.40066867
59	17.38458271
60	17.35599505
61	17.32611429
62	17.29981171
63	17.27093771
64	17.24008797
65	17.22527498
66	17.19906374
67	17.17414237
68	17.15420853
69	17.13827324
70	17.12157014
71	17.09210134
72	17.06124588
73	17.02993434
74	17.01691097
75	17.00458821
76	16.98892352
77	16.9766883
78	16.96732609
79	16.95877201
80	16.94173512
81	16.92540599
82	16.91524285
83	16.90855784
84	16.89369881
85	16.88116191
86	16.87221821
87	16.8610174
88	16.84668098
89	16.84090937
90	16.81378347
91	16.79196844
92	16.78094893
93	16.75654207
94	16.73808681
95	16.72751191
96	16.71102142
97	16.70337927
98	16.69774024
99	16.68801664
100	16.67545769
101	16.65411542
102	16.64541459
103	16.62440764
104	16.60578724
105	16.59807341
106	16.59536149
107	16.58703587
108	16.57681593
109	16.56691738
110	16.55985897
111	16.55212323
112	16.53955016
113	16.5314608
114	16.50195562
115	16.48169105
116	16.47611012
117	16.46745557
118	16.46041254
119	16.44967181
120	16.44415039
121	16.43356298
122	16.4258228
123	16.40553546
124	16.40170074
125	16.37264376
126	16.36181118
127	16.35309822
128	16.34119769
129	16.32615843
130	16.32196819
131	16.3079191
132	16.30021879
133	16.29228871
134	16.28956396
135	16.28525833
136	16.27333878
137	16.26428471
138	16.25661119
139	16.2471815
140	16.23075644
141	16.22791027
142	16.21836802
143	16.20762828
144	16.20584194
145	16.18007495
146	16.17077786
147	16.16022274
148	16.14485215
149	16.13562767
150	16.12593988
151	16.11034893
152	16.10273746
153	16.08574028
154	16.07719603
155	16.07417702
156	16.06467854
157	16.05958261
158	16.05448476
159	16.04039706
160	16.03710644
161	16.02225123
162	16.00590959
163	15.99812749
164	15.97530812
165	15.96115118
166	15.9428145
167	15.92425308
168	15.91711534
169	15.90692954
170	15.89943314
171	15.89787654
172	15.8961227
173	15.89156101
174	15.87867348
