iter	Passed	Remaining
0	47	23940
1	50	12526
2	51	8603
3	53	6621
4	54	5440
5	56	4640
6	57	4083
7	59	3659
8	61	3329
9	62	3066
10	64	2851
11	65	2665
12	66	2508
13	68	2371
14	69	2254
15	71	2161
16	73	2076
17	74	2000
18	76	1927
19	77	1861
20	78	1798
21	80	1742
22	81	1693
23	83	1646
24	84	1603
25	85	1563
26	87	1526
27	88	1492
28	89	1459
29	91	1429
30	92	1400
31	93	1373
32	95	1347
33	96	1325
34	98	1304
35	99	1282
36	100	1263
37	102	1243
38	103	1224
39	104	1206
40	106	1189
41	107	1174
42	109	1159
43	110	1144
44	111	1129
45	113	1116
46	114	1103
47	115	1091
48	117	1079
49	118	1068
50	120	1056
51	121	1046
52	122	1036
53	124	1025
54	125	1015
55	126	1005
56	128	997
57	129	988
58	130	979
59	132	970
60	133	962
61	134	953
62	136	945
63	137	938
64	139	931
65	140	923
66	141	917
67	143	910
68	144	903
69	145	896
70	147	889
71	148	883
72	150	877
73	151	871
74	152	865
75	154	860
76	155	854
77	156	848
78	158	843
79	159	837
80	160	832
81	162	827
82	163	822
83	164	816
84	166	811
85	167	807
86	169	802
87	170	797
88	171	792
89	173	788
90	174	783
91	175	779
92	177	775
93	178	771
94	179	766
95	181	762
96	182	758
97	183	754
98	185	750
99	186	746
100	187	742
101	189	738
102	190	734
103	192	731
104	193	727
105	194	724
106	196	720
107	197	716
108	198	713
109	200	709
110	201	706
111	202	702
112	204	699
113	205	695
114	206	692
115	208	689
116	209	685
117	210	682
118	212	679
119	213	676
120	214	672
121	216	669
122	217	666
123	218	663
124	220	660
125	221	657
126	222	654
127	224	651
128	225	649
129	227	646
130	228	643
131	229	640
132	231	637
133	232	634
134	233	631
135	234	628
136	236	626
137	237	623
138	239	621
139	240	619
140	242	616
141	243	613
142	244	611
143	246	608
144	247	605
145	248	603
146	250	600
147	251	598
148	252	595
149	254	592
150	255	590
151	256	587
152	258	585
153	259	582
154	260	580
155	262	577
156	263	575
157	264	572
158	265	570
159	267	568
160	268	565
161	269	563
162	271	560
163	272	558
164	273	556
165	275	554
166	277	553
167	278	551
168	280	549
169	281	546
170	283	544
171	284	542
172	285	540
173	287	537
174	288	535
175	290	534
176	292	533
177	294	533
178	297	534
179	300	534
180	302	532
181	303	530
182	304	527
183	306	525
184	307	523
185	309	521
186	310	519
187	311	517
188	313	515
189	314	512
190	315	510
191	317	508
192	318	506
193	319	504
194	321	502
195	322	500
196	324	498
197	325	496
198	326	494
199	328	492
200	329	490
201	331	488
202	332	486
203	334	484
204	335	483
205	337	481
206	338	479
207	339	476
208	341	474
209	342	473
210	343	470
211	345	468
212	346	466
213	347	464
214	349	463
215	350	461
216	352	460
217	354	458
218	355	456
219	356	454
220	358	452
221	359	450
222	362	450
223	363	448
224	365	446
225	366	444
226	367	442
227	369	440
228	370	438
229	371	436
230	373	434
231	374	432
232	376	431
233	377	429
234	379	427
235	380	425
